title,url,event_id,description
CS Men's LAX,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342979771,1342979771,"Wednesday, January 21, 2026, 6 - 8pm Woodruff PE Center Candler Field #3, Woodruff PE Center Candler Field #4"
WERQ (Tina),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1346501645,1346501645,"Thursday, January 22, 2026, 5:30 - 6:20pm Woodruff PE Center Aerobics Room"
CS Women's Soccer,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342979770,1342979770,"Tuesday, January 20, 2026, 7 - 8:30pm Woodruff PE Center Candler Field #3, Woodruff PE Center Candler Field #4"
Tae Kwon Do (John),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1346501644,1346501644,"Wednesday, January 21, 2026, 6:30 - 7:45pm Woodruff PE Center Aerobics Room"
CS Emory Ultimate,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342979775,1342979775,"Thursday, January 22, 2026, 6:30 - 9:30pm Woodruff  PE Center Candler Field #1, Woodruff PE Center Candler Field #2"
IM 5v5 Basketball Training,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342937593,1342937593,"Tuesday, January 20, 2026, 7 - 9pm Woodruff PE Center Large class room"
CS Judo,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1346629979,1346629979,"Wednesday, January 21, 2026, 7 - 9pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
CS Water Polo,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1345369418,1345369418,"Thursday, January 22, 2026, 6:30 - 8:30pm Woodruff PE Center Pool diving well / deep end"
CS Tennis,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1343069994,1343069994,"Tuesday, January 20, 2026, 7 - 8:30pm Woodruff PE Center Indoor Tennis court #7 (roof), Woodruff PE Center Indoor Tennis court #8 (roof), Woodruff PE Center Indoor Tennis court #9 (roof), Woodruff PE Center Indoor Tennis court #10 (roof), Woodruff PE Center Indoor Tennis Court  #11,…"
CS Men's Ultimate,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1342979772,1342979772,"Wednesday, January 21, 2026, 7 - 9pm Woodruff  PE Center Candler Field #1, Woodruff PE Center Candler Field #2"
Total Body Burn (Amanda),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1346501646,1346501646,"Thursday, January 22, 2026, 6:30 - 7:20pm Woodruff PE Center Aerobics Room"
Pre-Trip Meeting (OR),https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1343384189,1343384189,"Tuesday, January 20, 2026, 7 - 8pm Woodruff PE Center small class room"
CS Women's Basketball,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1345356737,1345356737,"Wednesday, January 21, 2026, 7 - 8:30pm "
CS BJJ,https://25livepub.collegenet.com/calendars/25live-woodpec-cal?eventid=1343069307,1343069307,"Thursday, January 22, 2026, 7 - 9pm Woodruff PE Center multipurpose room, wrestling,aerobics,yoga,martial arts"
